sentence,type
বাবার বোধহয় ধারণা ছিল শিশুদের একটিমাত্র সমস্যা-_ পেটে ব্যথা | তারা,cholito
আমি একই জায়গায় আরও কিছুক্ষণ,cholito
"আমি অভিশাপ, আমি বিধাতার বুকে ক্রন্দন-শ্বাস।",cholito
কারণবশতই অধি- কাংশ জমিদার সহরে আকৃষ্ট হইয়াছেন,sadhu
কান্না পুরোপুরি থামছে না,cholito
কাউকে খুব বেশি আপন করে নেওয়াটা বিপজ্জনক হতে পারে।,cholito
আমি নিয়া কি করিব,sadhu
এই গ্রন্থে নীতারামের রতিহাসিকতা কিছুই রক্ষা করা যায় নাই,sadhu
তাহলে তো ঘটন৷ অনেক দুর গড়িয়েছে তুমি চিন্তা করো না,cholito
কাজেই আমার ধারণা তোর পাঁচটায় ঘুম ভাঙ্গিয়ে সে আপনাকে,cholito
ছবিও তো দেখলাম না,cholito
এত সব তথ্য পাচ্ছি যে তুই কল্পনাও করতে পারবি না,cholito
একেবারেই যে অগ্রাহ্য করছে তা না,cholito
উদ্দাম বাজনা | পাড়ার লোক ভেঙে পড়ল,cholito
তার পক্ষে দোতলা থেকে একতলায় একা নামা সম্ভব নয়,cholito
এ অতি অসম্ভব কথা,sadhu
"আমার বিষয়, বিভব, ধন, জন, মতা সমস্তই অতুল, তাহা আমি জানি",sadhu
"হাদিখকে চিনতে পাঁরিলেন না কছিলেন, * « তোমরা কে",sadhu
"মতো, গায়ে পানি লাগে না",cholito
কোনো ভদ্রলোককে তুই বললে তার আক্কেল গুড়ুম হয়ে যায়,cholito
"জন্যে আমাকে ঢাকা নিয়ে এসেছিলেন | সবাই ধরে নিয়েছিল আমি বীচব না, কিন্তু",cholito
অনন্তর মারওয়ান পত্রখানি শেষ করিতে বসিলেন,sadhu
করবার চেষ্টা করছে,sadhu
প্রাণের ভয়ে ক্ষুধা-তৃষ্ণা থাকিলেও খায় কে,sadhu
"করিলে, তূমি বাচিতে কি",sadhu
খুবই ভদ্রভাবে বলেছে__ চলুন থানায় চলুন,cholito
তোমার কথা বুঝলাম না,cholito
“আপনার চাকরি কতদিন হয়েছে,cholito
“আপনি শুধু দয়া করে এখন আপনার সঙ্গে যেসব কথা হল তা খালাকে বলবেন,cholito
আজকের আবহাওয়াটা বেশ মনোরম।,cholito
"সে আতঙ্কিত গলায় বলল, ভাংতি নাই",cholito
"মানুষের রূপ দেখে মন বোঝা যায় না, ময়লা কাঁচের আড়ালে হীরা লুকানো থাকে।",cholito
"ওদের বলেছি, কিন্তু ওরা বিশ্বাস করে না",cholito
"এষা যন্ত্রের মতো বলল, “ভাল”",cholito
ধৈর্য হইল মহৎ ব্যক্তিত্বের লক্ষণ।,sadhu
সে মুখ ঘুরিয়ে বসেছিল,cholito
"অপেক্ষা করাটাও এক ধরনের ভালোবাসা, যা সবাই বোঝে না।",cholito
জমিদারীর খাজনা পুর্্বমত রাজ-কোষাগারে পৌঁছিয়,sadhu
সাহেবের সন্ধান পাবে না,cholito
পরেছে কেন,cholito
আপনার হাইট-কত,cholito
অনাগ্রহ নিয়ে মেশে | কোনোকিছুতেই অবাক বা বিস্ময় প্রকাশ করে না,cholito
হল না,cholito
নতুন প্রযুক্তি আমাদের জীবনে একটি গুরুত্বপূর্ণ ভূমিকা পালন করে।,sadhu
"হোসেনের দুগ্ধপোষ্য সন্তানের প্রতি যে হাতে তীর মারিয়াছে, আমি কি সেই পাপীর সেই হাতথানা দেখিয়াই পরিতৃপ্ত হইব, তাহা মনে করিয়ো না",sadhu
তাতে দোষ হয় না,cholito
মিটাঁয়ে মনের খেদ গেঁথে গেছে অবিচ্ছেদ পরিচ্ছেদে পরিচ্ছেদ মিছে মন-গড়,sadhu
আছে সেই খোঁজ বের করা আমার পক্ষে কঠিন না,cholito
এমন তাড়াহুড়া করছিস কেন,cholito
"ছুখহখের লক্ষ ধারায় পাত্র ভরিয় দিয়েছি তোমায়, মিঠুর পীড়নে নিাড়ি বক্ষ দলিতদ্রাক্ষা-সম | কত যে বরন, কত যে গন্ধ, কত ষে রাগিণী, কত ষে ছন্দ, গাথিয়া গীধিয়া কবেছি বয়ন বাসরশয়ন তব-__ গলায়ে গলায়ে বামমার সোনা প্রতিদিন আমি করেছি রচনা তোমার ক্ষণিক খেলার লাগিয়",sadhu
দিন এসেছিলাম আমরা চার বন্ধু,cholito
"করিয়াছে, অপমানে যাহারা অভ্যস্ত, যাহাদের সুবিধার জন্য কেহ কোনোদিন এতটুকু স্থান ছাঁড়িয়া দেয় নাই, গৃহের বাহিরে যাহারা কাহারো কাছে কোনো সহাক্স প্রত্যাশা করিতে",sadhu
গাজার মানুষ তাদের সংগ্রাম চালিয়ে যাবে যতদিন না শান্তি প্রতিষ্ঠিত হয়। 🕊️,cholito
এখন কিছু করছেন না,cholito
"চলে না--তাঁহাঁকে ফাকি দিবাব জো""কি, তাহার মধ্যে কৃত্রিম কারননিকতার অবকাশমাত্র নাই-_সে শত্রমিত্র মকলকেই শক্ত করিরা দেশনায়ক",sadhu
ছবি থাকলে তুমি তা পারবে না,cholito
রজনীতে নির্্ল আসিয়া কাহার কাছে শয়ন করিল,sadhu
"ভুল করাকে আমি ভয় করি না, ভুলের আশঙ্কায় নিচেষ্ট হইয়া থাকাকেই আমি ভয় করি",sadhu
"বেড়াইতে লাগিলেন, যেখানে শত্রু ছূর্ববল দেখেন, সেখানেই পড়িয়া তাহাদের কাটিয়া ফেলেন",sadhu
“আমার এক চাচী ছিলেন পেটে সন্তান এলেই তিনি মাটি খেতেন,cholito
"রিপোর্টার জিজ্ঞেস করলেন, তোমার নাম কী",cholito
তাতে সবাই দুশ্চিন্তা বেশি করবে,cholito
আজকের রাতটা যেন এক স্বপ্নের মায়াজালে ঘেরা।,cholito
"পরে দিল্লীর পথে, চারি দিক্‌ ভাল করিয়া দেখিতে দেখিতে চলিল",sadhu
যথেষ্ট আগ্রহ নিয়ে নাটক দেখছি,cholito
এই সপ্তাহে নতুন কিছু করার জন্য নিজেকে প্রস্তুত করেছি।,cholito
“ঘরে লেবু ছিল না,cholito
আমি এখান থেকে টেলিফোন করে জেনেছি,cholito
দামটা একটু বেশি হয়ে গেল না?,cholito
মাঝখান থেকে নাটক দেখার এত মজা আগে জানতাম না,cholito
সেই সুমহত্ দিন আসিবার পূর্বে--“একবার তোরা মা বলিয়া,sadhu
"বাসার ঠিকানা দাও, রিকশা ভাড়া দাও ঘুরে আসি",cholito
"সফিক গম্ভীর গলায় বলল, “অসময়ে দেখতে এসেছেন ভাবি কার সঙ্গে কী",cholito
আমি জুনাব যোধপুরী বেগমের হিন্দু বাদী,sadhu
"লাগিয়াছিলেন, তাহার প্রমাণ তাহারই সরকারী ফারসী ইতিহাস ও সংবাদ-চিঠি হইতে তারিখ ও পৃষ্ঠাসহ উদ্ধত করিয়া আমার ইংরাজী ইতিহাস গ্রন্থে দিয়াছি",sadhu
আশা শোন আমি যে,cholito
"আমার মন ডাকিয়া বলিতেছে, তোমাদের তরবারি সেই উভয় ভ্রাতার শোণিতপানে লোলুপ রহিয়াছে",sadhu
দেখা পাব না,cholito
বেশিদিন কোনো কামে মন টিকে না,cholito
"লাগিতেছে, তৃণতরুলতার ষে শ্বামলতা ভালো লাগিতেছে, প্রিয়জনের যে যুখচ্ছবি ভালে",sadhu
"জঙ্গল বাড়িয়া উঠিতেছে, ম্যালেরিয়া নিদারুণ হইতেছে, দুর্ভিক্ষ ফিরিয়া ফিরিয়া",sadhu
এইবার হিন্দু এলুচি আসিয়াছে শুনিয়,sadhu
একদানা বরফ নেই,cholito
বলতে পারেন না,cholito
"আমি ম্যানেজারের মুখের দিকে তাকালাম, সে আমাকে ভয় দেখানোর চেষ্টা",cholito
“রেহানার একবার টাইফয়েড হল,cholito
আমি ইমরুলকে নিয়ে “গেট আউট হয়ে গেলাম,cholito
"” গৃহিণী কাঁদিতে কাঁদিতে স্বামীর পা দুখানি ধরিয়া বলিলেন, “ছেলে দুটির প্রতি দয়া কর",sadhu
মাগো তুমি নানান দেশ বিদেশ ঘুরবে__,cholito
"বিরাট মুঠিতলে চাপিছে দৃদ্রবলে ব্যাকুল বালিকারে, নাহিকে",sadhu
"ছে ইন্দ্র, তোমার শক্র নেই, তোমার নায়ক নেই, তোমার বন্ধু নেই, তবু প্রকাশ হবার কালে যোগের দ্বারা বন্ধুত্ব ইচ্ছা কর",sadhu
আমি উঠে দাড়াতে-দাড়াতে বললাম_ সফল হয়নি,cholito
তবে খুব বিরক্ত করছে,cholito
"দিয়েছি তাহা গেছে চিরকাল, আর ফিপ্রিবে না প্রাণে",sadhu
আর এ পামরীর জন্য মহারাজ কেন এ কথা তুলেন,sadhu
"আমাদের এমন অনেক উৎসাহী যুবক আছেন, ধাহারা দেশের জন্য ফেবল বাঁক্যব্ম্ম নহে, ত্যাগম্বীকারে প্রস্তত",sadhu
অস্ত্র ব্যবসায়ীদের লাভ হলেও সাধারণ মানুষের কপালে শুধুই মৃত্যু।,cholito
"বিচারকের দণ্ড থেকে অপ্রশংসাঁর অপ্রিয় আঘাত নামত, কিন্তু কটুক্তি ও কুত্সার উত্তেজনা তখনো সাহিত্যে ঝীঝিয়ে ওঠে নি",sadhu
"ফুপু তৃপ্তির নিশ্বাস ফেলে বললেন, তুমি থাকায় ভরসা পচ্ছি",cholito
পড়াশোনায় খুবই ভালো | এসএসসি'তে বেশ কয়েকটা লেটার এবং স্টার মার্ক,cholito
"চা বানানো, রান্না- সব",cholito
"” মবারক স্বয়ং রক্ধমুখে রা'্জপুত্তগণের প্রতীক্ষা করিতেছিলেন__তিনি বলিলেন, “ইহার",sadhu
শুধু ছিলাম না _,cholito
"আর তোমার মনের কথা৷ যে বুঝি নাই, তাহা মনে করিও না",sadhu
সেই হাসির রেশ এখনো ঠোঁটের কোনায় ধরা আছে,cholito
নানান জায়গায়,cholito
ভাবিয়া তীহ্বার মনে সঙ্কোচ জন্মে নাই; তদ্িষযয়ে যে ভীহাঁর স্থির সিদ্ধান্তই ছিল যে সাক্ষাতের উদ্দেশ্য দূষা ন হুইলে এমত সাক্ষাতে দোষ নাঁই,sadhu
"দরজা বন্ধ করার পরপরই দরজায় টোকা পড়বে - 'ত্রাদার, একটুকুইক করবেন",cholito
রাজকুমারী হাসিয়,sadhu
যেখানে যাবি আমি জানব কোথায় গিয়েছিস | আন্দাজ করতে পারছিস,cholito
"অসি হস্তে গন্তীরম্বরে এজিদ্‌ পুনরায় বলিতে লাগিলেন, “এ কুহকিনী মায়মুনার শাস্তি আমি স্বহস্তে বিধান করিব না",sadhu
শেষের দিনের ভাবনা বল তো কার না আছে,sadhu
"সফলতা থাকে না, ঘতট",sadhu
মাঝে মাঝে কিছু কবিতা পড়ে মনে হয় এগুলি আমারই লেখার কথা ছিল,cholito
লাগছিল বলে শুয়েছিলাম,cholito
তিনি দ্রুত পাঁদবিক্ষেপে গৃহাভিমুখে চলিলেন; এই অবকাঁশে বন্ধনলত1 ছিপ্ন করিতে নবকুমাঁর আর এক বার বস্তব পাইলেন-_কিন্ত সে যত্বুও নিষ্ষল হইল,sadhu
চলুন আপনাকে বাসা পর্যন্ত এগিয়ে দি,cholito
"এক্সপেরিমেন্ট করছি, তুই তো কিছু করছিস না",cholito
"আমি বলেছিলাম, কোনো একদিনটা কবে",cholito
কিনতে পারব কিনা তাও জানি না,cholito
"আমরা বিশেষ সন্ধানে জানিতে পারিয়াছি, তাহারা নগরের বাহিরে যায় নাই,-যাইতে পারে নাই",sadhu
"করিল, “যদি জিজ্ঞাসা করে, কিসের পর্ওয়ানা",sadhu
আপনার নিকট ভিক্ষার্থ আসিয়াছি,sadhu
এই তো আমার গুরুর বেশ,sadhu
আমার চিরশক্রর আজ্ঞা প্রতিপালন করিয়া আমারই সর্বনাশ করিয়াছে,sadhu
বাবার বাজনা না শুনে সে নড়বে না,cholito
"মৃত্যু হলো এক অবধারিত সত্য, যা থেকে পালানোর কোনো উপায় কারো নেই।",cholito
"ভদ্রলোক বললেন, “না",cholito
"রূপা হাসিমুখে বলল, আপনি সামনে বসছেন কেন",cholito
থানার ওসি সাহেবের চেহারা বেশ ভালো |,cholito
"রানু বলল, “নীলু এই মুহূর্তে কী ভাবছে তা আমি বলতে পারব",cholito
"এই কোপপ্রেমগরববসৌভাগ্যক্ুরিভাধরা, চীনাস্বরা, তরলিতরয্হারা, গগীবরযৌবন- ভারাবনতদেহা__ তত্ী শ্যাম",sadhu
"” “খোদা যদি সে দিন দেন, তবে জয়নাবকে হাতে আনা কতক্ষণের কাজ",sadhu
আমি কইলাম,cholito
মিসির আলিকে পাওয়া গেল না,cholito
“নিদ্রাপেক্ষা ধর্মালোচনা অতি উৎকৃষ্ট” আরব্য ভাষায় একথার ঘোষণা করিতেছে,sadhu
আমি হেঁটে হেটে মেসে ফিরলাম,cholito
তবে আমি মোটামুটি নিশ্চিত নিজেকে অন্যের চেয়ে আলাদা প্রমাণ করার,cholito
"আমি বললাম, ফেব্রুয়ারি",cholito
বড় ফুপা দ্রবীভূত অবস্থায় থাকলে কোনো সমস্যা হবে না,cholito
পর ৪৪ যুগলাস্ুরীয়,sadhu
পাখি মেয়েটির আনন্দ নিজের চোখে দেখতে ইচ্ছা করছে,cholito
"শুন্যসিন্ধু শুধু যেন এক বিন্দু গাটতম অন্তিম কাপিমা-- আমারে গ্রাসিল সেই বিন্দুপারাবার | অন্ধকারহীন হয়ে গেল অন্ধকার-__ “আমি বলে কেহ নাই, তবু যেন আছে",sadhu
"“না রানু, মূর্তির মতো দেখাবে কেন",cholito
"আমি শীতল গলায় বললাম, আমাকে তুই-তুই করে বলবেন না",cholito
স্ত্যমিথ্যা-ভালোমন্দ-জীবনমৃত্যুর ঘন্ঘ এসে ন্বর্গ থেকে মাস্যকে লজ্জ,sadhu
সেই ললিতগিরি আমার চিরকাল মনে থাকিকে,sadhu
"“আর আপনি যে নিজেই নিজেকে বুদ্ধিমান বলছেন, এটাও ঠিক না",cholito
"“ডাক্তার সাহেব, আমার বাবা ছিলেন একজন অসুস্থ মানুষ",cholito
"সমস্ত ক্ষতফে আরোগ্য করা, এ্রক্কে আকর্ষণ করিয়",sadhu
"খুব চেনা, খুব আপন মনে হলো",cholito
ময়ূরাক্ষী নদীকে একবারই আমি স্বপ্নে দেখি,cholito
কোথায় দেখেছি বুঝতে পারছি না,cholito
আপনার অনুচরবর্গ ই বা কোথায়,sadhu
চা ভালো ছিল না,cholito
"বললাম, ঘুম এনে দিচ্ছি",cholito
তুমি মনে হয়,cholito
"ইহাতে বাংলার গ্রাম সকল দিনে দিনে নিরানন্দ হইয়া পড়িতেছে এবং যে সাহিত্যে দেশের আবালবৃদ্ধ বনিতার মনকে সবস ও শোভন করিয়া রাখিয়াছিল, তাহা প্রত্যহই সাধারণলোকের আয়ত্াতীত হইয়া উঠিতেছে",sadhu
কিন্তু দন্্যুর দণ্ড অবশ্ঠ দিতে হইবে,sadhu
'আর ছুই দিন থাকিয়,sadhu
নির্রলকুমারী হঠাৎ সম্মত হইতে পারিল না_ কোন মিছা ওজর করিল না-কিন্তু আদল কথ,sadhu
সকাল-সন্ধ্যাবেলা,sadhu
এখন কিছু দেখা যায় না,sadhu
বিধর্মীর হস্তে মৃত্যুই বড় পৃণ্য,sadhu
আপনি বসে আছেন কেন,cholito
"আমার আশা-লতার কেবলমাত্র বীজ বপন হইয়াছে; কতকালে যে প্রস্ফুটিত পুষ্প দেখিয়া মনের আনন্দে নয়নের প্রীতি জন্মিবে, তাহা কে বলিতে পারে",sadhu
কাহার কাছে না জানি আছে সোনার কাঠি__ পরশ লেগে উঠিবে জেগে হরষরমকাঁকলি,sadhu
এই অন্গুরীয়দী তুমি (লাখ,sadhu
পড়িবে সেইদ্দিনই ওটি বাজেক্লাপ্ত হইবে,sadhu
"দিবে, প্রতিজ্ঞা করিল",sadhu
একেবারেই মিলছে না,cholito
দেখি ব্যবস্থা করা যায় কি না,cholito
কখনো ছন্দপতন হবে না,cholito
তুমি নিজে একটা বদ্ধ উন্মাদ,cholito
আপনার কোনো ঠিকানা আমাদের জানা নেই বলে,cholito
"‘না, ভালো না",cholito
আর কোনোদিন ভুলেও উচ্চারণ করে না,cholito
"তাহার নিশ্চিত বিশ্বাস যে, রমা কখনও এ সভামধ্যে আসিবে না বা এ সভায় এ সকল কথা৷ বলিতে পারিবে না",sadhu
আজ আমি কর্মীকূপে কর্ম ফেঁদে বসেছি,sadhu
“আপনি দুঃশ্চন্তগ্রস্থ ছিলেন,cholito
আমি খুবই লজ্জিত”,cholito
সকলের শেষে আমার প্রার্থনাটিও জয়নাবকে জ্ঞাপন করিও,sadhu
"অনুচিত, তাহাতে আমি বাদশাহকে অনুরোধ করির না",sadhu
আমার নিজের চোখে দেখা | আপনি চাইলে আপনাকেও নিয়ে দেখাতে,cholito
অহঙ্কার প্রকাশ পায় এমন কিছু লেখার ব্যাপারে আমি বেশ সচেতন,cholito
আমি তরুণী-ডাক্তারের পেছনে পেছনে যাচ্ছি,cholito
"এই সভা যথাসম্তব গ্রামে গ্রামে আপনার শাখা বিস্তার, করিয়া সমস্ত জেলাকে আচ্ছন্ন করিবে__-প্রথমে সমস্ত প্রদেশের সর্ব্বাংশের সকল প্রকার তথ্য সম্পূর্ণরূপে সংগ্রহ করিবে-_কারণ কর্মের ভূমিকাই জ্ঞান",sadhu
তুই কেমন করিয়া জানিলি,sadhu
আর আপনি নাকি মোটামুটি বাজাতে পারেন,cholito
"নীলু বলল, ‘এখন চলে যেতে চাও রানু",cholito
” বক্তার কথা মুখে থাকিতে থাকিতে কাসেমের বর্শা প্রতিযোদ্ধার বক্ষ বিদীর্ণ করিয়া পৃষ্ঠ পার হইল,sadhu
"আশ্চর্যের ব্যাপার, খারাপ হচ্ছে না",cholito
নাম হল গিয়ে আপনার ইয়াকুব,cholito
সারাদিন ছোটাছুটি করলাম,cholito
মহারাজ. স্বয়ং আমার বিচার করিতেছেন--ভরসা,sadhu
চলুন আপনাকে হাসপাতালে নিয়ে যাই,cholito
"কসাই জয়ন্তীর হাত ছাড়িয়া দিল, কিন্তু মঞ্চ হইতে নামিল না",sadhu
জন্মভূমিকে লক্ষ্য করিয়া মা শব্ঘটাকে ধ্বনিত করিয়া তুলিয়াছি,sadhu
"এতদিন যে নামের দোহাই পাঁড়িতে পাড়িতে দিন কাটিয়া গেল, সে নাম ছাড়িয়া আজ যথার্থ কাজের পথে পাড়ি দিবার বেলায় ঈশ্বরে নাম কর, আমন্রাও এককঠে তাহার জয়োচ্চারণ করিয়া সকলে তোমার চতুদ্দিকে সম্মিলিত হই",sadhu
বাবার বোধহয় ধারণা ছিল শিশুদের একটিমাত্র সমস্যা___পেটব্যথা | তারা,cholito
"মতি কহিলেন, ”"" ও কে যাইতেছে",sadhu
অধিকাংশ স্ত্রীলোক বহুন্বর্থচিত হুইলে পরায় কিছু শ্রীহীন,sadhu
আমাদের মধ্যে কথাবার্তা শুরু হলো,cholito
"দেখে বিরস মুখে বললেন, “হিমু সাহেব আপনার কাছে অনেক পাওনা হয়ে গেল",cholito
« হোঁষকারীর মুখে তুমি কাহার নাঁম শুনিয়াছিলে,sadhu
প্রতিটি পত্রিকামালিক কোনো-না-কোনো৷ রাজনীতিবিদের,cholito
"তৎকর্তৃক তাড়িত হইয়া যে যেখানে পাইল, পলায়ন করিল",sadhu
"এজিদ্‌ মহোৎসাহে নগরের অন্তঃসীমা পর্যন্ত সৈন্যদিগের সঙ্গে সঙ্গে যাইয়া, মারওয়ান, সৈন্যগণ ও সৈন্যাধ্য অলিদের নিকট বিদায় হইয়া নগরে ফিরিয়া আসিলেন",sadhu
ক্যাফিন তোমার নার্ভগুলোকে আকটিভ রাখবে ৷”,cholito
"কাফেরের নিকট কোনকালে কিছু যান্ডা করি নাই, জল চাহিলে কিছুতেই পাইব না",sadhu
"তুমি যদি কঠোর পরিশ্রম করো, তবে অবশ্যই তুমি জীবনে সফল হবে।",cholito
"রমা শুনিয়া শয্যা লইল, কাদিয়া বালিশ ভাসাইল, শেষ গলায় দড়ি দিয়া; কি জলে ডুবিয়া মরা ঠিক করিল",sadhu
ইহাতে আমার অদৃষ্টে যাহা থাকে হইবে,sadhu
সদগুণাবলী অর্জন করিলে মানুষ মহৎ হইয়া উঠে।,sadhu
“আপনার জন্যই হয়েছে,cholito
"এজিদ্‌ গোপনে বলিয়া দিয়াছেন, যখন নিতান্ত ক্লান্ত হইবে, চলৎ-শক্তি রহিত হইবে, ক্ষুধা পিপাসায় কাতর হইয়া পড়িবে, সেই সময় একটু বিশ্রাম করিয়ো",sadhu
"থাকি, কিন্তু কাঁহীকে বলে অবি- শেষ আনি না",sadhu
থাকলে আদর দিয়ে তোকে নষ্ট করত | আমি যেসব পরীক্ষা-নিরীক্ষা করছি তার,cholito
"আমি ক্ষীণস্বরে বললাম, আড়িয়াল খাঁ",cholito
একতলার দুটা ঘর আমি তোমাদের জন্য ছেড়ে,cholito
তোমার ছুঃখের কথা শুনিব,sadhu
"তাহার পর সেই মনোমোহিনী কথা-_নানা দেশের, নানা বিষয়ের, নানাবিধ অশ্রুত- পুর্ব কথা, কখনও কৌতূহলের উদ্দীপক, কখনও মনোরঞ্জন, কখনও জ্ঞানগর্ভ_এই ছুই মোহ একত্রে মিশিলে কোন্‌ অসিদ্ধ ব্যক্তির রক্ষা আছে",sadhu
"এক ভদ্রলোক, জয়নাল সাহেব",cholito
কোন বন্ধু-বান্ধব বাসায় আসে না,cholito
যে সময়ে প্রবীণ সারধীর প্রবল রাশ ইহাদের সকলকে শক্ত করিয়া টানিয়া রাখে তখনো,sadhu
"হেড লাইন যদি মাউন্ট অব লুনার দিকে বেঁকে যায়, এবং ঘদি",cholito
তুমি যাও ৷”,cholito
"আপনার পছন্দের শিশু তুলিয়৷ দিবে, ইহাই আমাদের অঙ্গীকার",cholito
দরজা খুলতে পারব না,cholito
"এইরূপ ভাবিতেছিলেন, এমত সময়ে দেখিলেন যে, পর্ধতারঢ ব্যক্তিরা হস্ত প্রসারণ করিয়া তাহাকে দেখাইতেছে এবং পরস্পর কি বলিতেছে",sadhu
বাদলের আপনাকে ভয়ংকর দরকার,cholito
"“সেইটা আমার বিষয়, আমি দেখব",cholito
পুর্বে আপনার সামনে তাকে ওজন করা হইবে,cholito
শাড়িতে যেমন অপূর্ব লাগছিল স্কার্টেও তেমন লাগছে,cholito
"আমি আবারো বললাম, 01.",cholito
আমি অনেকদিন থেকেই নিখুঁত রূপবান পুরুষ,cholito
” এই কথার সঙ্গে সঙ্গেই বর্জক-পুত্রের মস্তক যুদ্ধক্ষেত্রে বিলুণ্ঠিত হইল,sadhu
"আমাঁঘিগকে অভিভূত করিয়াছিল, তাঁহাই আমা- দ্িগকে জাগ্রত করিতেছে",sadhu
"বিনাশ থে এমনি করিযাই ঘটে, বৎসরে বরে তাহার কি হিসাব পাওরা ঘাইতেছে না",sadhu
"বলিল, “এ শাহঙ্জাহা৷ বাদশাহের তস্বীর 1” যুবতী বলিল, “দুর মাগি, এ দাড়ি যে আমি চিনি",sadhu
অদ্য সে ভাহার- সাক্ষাতে যাইতেছে,sadhu
জাতীয় ঐক্য দেশের ভিত্তি।,sadhu
আমি জানতাম হবে,cholito
বৈজ্ঞানিক দার্শনিক এতিহাঁসিক বা,sadhu
“আপনি নিশ্চিত যে আপনার কোন ক্ষমতা নেই,cholito
সে সময় মূল কথার অণুমাত্রও বিশ্বাসের উপযুক্ত থাকে না,sadhu
"আমি বললাম, স্থ্যা",cholito
আমি ঘা পেয়েছি তাই ভাল খুব চালাক চতুর ছেলে,cholito
কাছে কিছু চাই না,cholito
এই জন্যে আমি কি ঠিক করেছি,cholito
ওসি সাহেব আমার দিকে ঝুকে এসে বললেন_ আবুল কামালের গলায় ফুলের,cholito
"( লুৎফ-উদ্জিসা ভঁহাঁর বিল্যয় দেখিয়া কহিলেন, “আরও বিম্ময়ের বিষয় আঁছে- আমি তোমার সপত্রী",sadhu
কবিতাটার নাম রাত্রি,cholito
ব্যাপারে আমি কিছু জানি না,cholito
এবং সেই বিবেচনায় সকলেই তোমাকে মহিষীদিগের শ্যায় মহারাদী বলিয়া সপ্ধোধন করিবে,sadhu
"জিহ্বাতে রস আছে, উহাতে যদি তোমার পিপাসার কিছু শান্তি হয়, দেখ",sadhu
নিজের জীবনকে অন্যের সাথে তুলনা করো না।,cholito
"নিশথনভে শুনিব কৰে গভীর গান, যে দিকে চাঁব দেখিতে পাব নবীন প্রাণ শৃদ্ধ হবধয়ের 'আ কাজ] নুতন প্রীতি আনিবে নিতি কুমারী উ্া অরুণ1",sadhu
চোটে স্বীকার করলাম এসিড আমিই কিনেছি,cholito
” এই শব্ব উচ্চারিত হইবা মাত্র চারি পাঁচ জন শন্্রধারী রাজপুত অনৃশ্ঠ স্থান হইতে গাত্রোথান করিয়া ধাড়াইল এবং তরবারি হস্তে মাণিকলালকে কাটিতে আসিতে উদ্ত হইল,sadhu
আমি ভদ্রলোককে চা খাওয়াতে নিয়ে গেলাম,cholito
"ফুলফুলিয়৷ চমকে উঠে বলল, তাকে আমি কেন বিয়ে করব",cholito
তুমি পদ্মগুলি,cholito
এই বিজয়কালে উদয়পুরে ১৭৩টি ও চিতোরে ৬৩টি মন্দির ভাঙ্গির,sadhu
"যে কারণেই হউক, জগতের যাবতীয় কর্ধ দৈবাহুকম্পায় সাধিত হয়, ইহা তাহাদিগের বিশ্বাস",sadhu
আমার কাছে লেকচার ঝাড়বে না,cholito
মোটেই বিস্মিত হন না,cholito
“নীতু বলে দিয়েছে এটা নাকি জরুরি চিঠি,cholito
খুন খারাবির নিউজগুলি আমি পড়ি না,cholito
আপনার কি পোলাও খেতে ইচ্ছা করছে,cholito
"ফরিদা দুঃখিত গলায় বলল, আপনি এত সহজে আচ্ছা বললেন",cholito
তিনি কটাক্ষ করিলেই ত এই সকল নিরপরাধী লোক রক্ষা পায়,sadhu
"থাকেন যে, আমারই হাতে তাহার সংসারমন্ত্রণা হইতে নিষ্কৃতি ঘটিবে, তবে কাহার সাধ্য অন্যথা করে",sadhu
মীরা কিংবা ইরা নাম,cholito
"আমি এসে দেখি এখন মারা যায়,",cholito
আমার অন্নবস্ত্রের পথ বন্ধ করিবে,sadhu
সম্ভাবনা শতকরা ঘাট ভাগ,cholito
“আমি তাহলে অসুস্থ,cholito
"ভারতবর্ষ বিচিত্রের মধ্যে এক্যস্থাপন করে, এ কথার অর্থ ইহা হইতেই পারে না, ভারতবর্ষ ট্টামরোলার্‌ বুলাইয়",sadhu
ভ্রমণ করিতে করিতে নবকুষারের শ্রম জন্মাইল,sadhu
সবাইকে সাথে রাখাটা অনেক বড় গুণ।,cholito
আমি ধরিয়া থাকিব | নির্মল : লক্দারহিতা হইয়া রসিকতা করিতেছিল-_এবার মুখ ফিরহিল,sadhu
জীবন মানেই তো সংগ্রামের নাম।,cholito
"ফুলফুলিয়া খুব গভীর গলায় বলল, পবিত্র গাভী",cholito
“আমার ঘুম আসছে না,cholito
বাচিয়া থকিতেই যদি মাহিন1 চুকাইয়া লওয়া হয় তবে সেটা সম্পূর্ণ কবির হাতে গিয়া,sadhu
"“না, সব আছে",cholito
নামিয়ে বসলাম,cholito
"মানিলাম, উষধে মন ফিরাইবে, নৃতন ভালবাসার সহিত শত্রভাব জন্মাইয়া দিবে; কিন্তু আমাকে যে ভালবাসিবে, তাহার উষধ কী",sadhu
তোমাকে পৌছে দিতে হবে না,cholito
একটি পতঙ্গের ক্ষুদ্র পালকে তাঁহার অনন্ত শিল্পকার্য বিভাসিত হইতেছে,sadhu
"তবে ভাবগতিক দেখিয়া বাহ্যিক ব্যবহারে সকলেই বুঝিয়াছিলেন যে, পরিজনবর্গের-বিশেষতঃ স্ত্রীগণের প্রতি হাসান মহাবিরক্ত",sadhu
